id,waktu
T001,2025-12-17 10:46:31.638666
T001,2025-12-17 10:53:09.238690
T002,2025-12-17 10:56:43.804406
T007,2025-12-22 21:03:13.250499
T008,2025-12-25 16:58:55.956210
T008,2025-12-25 17:01:30.044680
T008,2025-12-25 17:01:52.801081
T009,2025-12-26 22:34:45.772251
T009,2025-12-26 22:36:37.611420
T010,2025-12-26 22:37:39.372995
T009,2025-12-26 22:41:50.354591
T001,2025-12-28 20:47:12.199476
T003,2025-12-28 21:20:59.516086
T004,2025-12-28 21:31:43.826113
T005,2025-12-28 21:37:09.460642
T005,2025-12-28 22:30:29.853442
T004,2025-12-28 22:30:57.084234
T006,2025-12-28 22:39:56.780538
T006,2025-12-28 22:40:07.927547
T007,2025-12-29 10:11:11.710071
T001,2025-12-29 10:14:57.533749
T001,2025-12-29 10:22:23.593007
T001,2025-12-29 10:23:24.317615
T008,2025-12-29 10:29:55.809977
